x,y,z,dev
-167.90634681990434,146.17835321919557,130.42946125211603,0.16873202481105423
-167.9027823545756,146.14414373126175,152.06555847993823,0.19146358462761576
-167.91414038860836,146.1963760413123,170.78770691140934,0.2162840980063749
-167.95032907056296,146.0129394426827,193.19365603983783,0.21584636951269234
-167.95162248274687,145.99921724125645,213.16600582316693,0.12471282462575177
-167.98201622267845,145.90262303438595,234.63125863450043,0.2700980850022391
-167.9930154388644,145.78246995825754,254.67697359236686,0.2248245273535834
-168.02530174612463,145.71231934962225,275.7186595565067,0.2498526753604231
-167.97795694308815,145.43577114488534,298.58826567132866,0.19467362735880006
-168.1040809574465,145.4690608971536,316.1838810218886,0.05528997645538928
